file,CV_score,LB
base.py,0.012805765566365552,0.1368
plus_OffenseFormation.py,0.012797972386427941,
voronoi.py,0.012856801124086187,0.01439
plus_some_features.py,0.012809188342046113,
plus_some_features.py,0.012813605097220545,
playerFE.py,0.012959024757676392,
playerFE.py,0.01292873293706406,
playerFE.py,0.012965247970676259,
plus_OffenseFormation.py,0.012794130010210077,
plus_OffenseFormation.py,0.0127985760799946,
plus_OffenseFormation.py,0.01279877126259624,
plus_OffenseFormation_plus_weather.py,0.012846363981831723,
plus_OffenseFormation_plus_weather.py,0.012824389943312172,
plus_OffenseFormation.py,0.012810460922845776,
plus_OffenseFormation.py,0.01282279083029062,
plus_OffenseFormation.py,0.012894896310639642,
plus_OffenseFormation.py,0.012894674066183793,
plus_OffenseFormation.py,0.021352742795187646,
plus_OffenseFormation.py,0.01284798459796833,
plus_OffenseFormation.py,0.012917304175606749,
plus_OffenseFormation.py,0.012792939648725094,
base_NN.py,0.01278056361259648,
base_NN.py,0.014592046555262968,
base_NN.py,0.012731497549268115,
base_NN_2.py,0.012759114748956735,
base_NN_2.py,0.012798086540863595,
base_NN_3.py,0.012772211973280436,
base_NN.py,0.012768551752957649,
base_NN.py,0.012551511642764164,
LGBM.py,,
LGBM.py,,
base_NN_4.py,0.012543635681587593,
base_NN_4.py,0.012652589854601031,
